P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
b,b,c,a,c,b,c,e,c,e,c,b,e,b,e,b,b,b,c,d,Ingeniería Mecánica Eléctrica,4
c,b,c,b,c,d,c,e,d,d,b,d,e,e,b,e,c,b,d,b,Ingeniería Mecatrónica,5
b,c,d,d,e,d,e,d,b,c,d,b,d,b,d,d,b,a,d,a,Contaduría,5
d,a,d,d,a,d,d,d,b,a,a,d,a,a,d,d,b,e,a,d,Gestión y Dirección,5
b,b,d,d,a,d,b,d,d,d,d,e,d,d,d,a,d,c,e,d,Ingeniería Civil,5
d,a,c,b,e,d,e,b,d,d,d,c,e,d,b,a,d,d,d,e,Administración,4
b,d,d,b,d,b,a,d,d,d,d,e,a,b,e,b,b,a,d,a,Gestión y Dirección,5
b,b,d,c,b,b,a,b,b,b,b,b,b,e,d,b,b,d,b,e,Gestión y Dirección,5
d,c,b,a,d,b,c,e,a,d,d,d,e,d,d,e,a,b,c,a,Ingeniería Mecánica Eléctrica,4
b,e,b,d,b,d,c,e,b,d,c,a,c,b,d,b,d,b,e,d,Ingeniería Industrial,5
e,c,d,d,b,b,c,d,c,e,b,c,d,b,b,e,b,e,d,b,Ingeniería Civil,5
b,c,b,d,d,d,d,d,d,d,a,d,d,d,d,c,d,d,d,d,Ingeniería Civil,5
d,d,b,e,b,b,b,b,c,b,b,c,d,e,e,e,e,d,c,c,Ingeniería Mecánica Eléctrica,5
b,c,d,b,c,e,b,b,b,d,d,b,e,a,e,b,d,a,c,b,Ingeniería de Software,4
a,a,b,d,a,d,d,d,a,d,a,d,a,d,b,d,a,c,c,d,Ingeniería Mecatrónica,4
a,b,b,a,d,a,b,d,d,d,d,a,d,b,c,b,d,b,e,a,Ingeniería Mecatrónica,5
d,c,a,d,d,b,e,d,e,c,a,d,e,d,b,c,b,a,a,d,Ingeniería de Software,5
b,b,d,d,d,b,a,e,b,b,c,c,e,b,b,b,e,a,d,c,Administración,5
d,e,e,c,c,b,c,e,c,b,b,e,e,e,e,b,e,c,b,b,Contaduría,4
d,d,e,d,a,d,d,a,a,a,d,e,d,d,d,a,a,e,d,d,Gestión y Dirección,5
e,e,d,c,b,c,b,b,e,e,d,e,e,e,b,b,b,e,b,e,Contaduría,4
d,d,a,e,b,c,b,c,d,b,b,b,b,e,c,b,b,b,b,d,Ingeniería de Software,5
a,d,b,d,d,d,d,a,d,a,a,e,a,a,e,a,d,d,a,d,Ingeniería Civil,4
b,c,d,d,d,b,d,e,e,d,e,d,d,d,a,e,b,c,d,b,Contaduría,4
d,a,d,b,a,d,d,d,d,d,d,b,d,a,d,c,a,b,b,a,Ingeniería Mecánica Eléctrica,5
d,a,b,b,a,b,e,d,d,d,d,d,d,c,d,a,c,d,e,b,Ingeniería Mecánica Eléctrica,5
c,b,d,c,a,b,a,d,d,d,d,e,c,c,b,c,d,c,d,b,Contaduría,5
b,e,e,b,d,e,d,e,d,d,d,d,c,d,a,d,b,a,e,d,Contaduría,5
b,a,d,a,d,a,d,a,d,a,d,b,a,d,d,a,d,c,a,a,Contaduría,5
c,e,e,b,b,b,a,b,e,b,b,c,b,b,a,b,e,c,c,c,Ingeniería Industrial,5
b,b,e,b,e,e,d,b,e,c,b,c,b,c,d,c,e,c,b,e,Ingeniería Industrial,5
a,d,a,d,a,a,b,a,d,a,d,a,d,a,a,d,d,b,a,d,Ingeniería de Software,4
d,d,d,d,e,a,d,a,d,a,d,d,d,d,d,a,a,c,d,d,Administración,4
d,a,c,b,a,d,e,d,a,c,d,b,d,d,d,c,a,a,a,d,Ingeniería de Software,4
d,b,d,b,a,d,d,d,d,a,a,c,a,c,d,a,b,e,d,d,Contaduría,5
b,d,d,d,e,b,a,d,d,e,d,d,d,e,d,d,c,d,d,d,Contaduría,5
c,e,a,d,d,b,b,d,c,c,b,b,d,b,c,c,b,d,d,b,Ingeniería Mecatrónica,5
d,d,a,c,e,b,b,c,d,e,d,e,b,c,b,e,d,b,b,b,Ingeniería de Software,4
d,d,a,a,d,d,a,d,d,d,e,b,d,d,c,d,d,a,d,d,Ingeniería de Software,4
c,b,e,b,c,e,e,c,c,c,c,d,c,d,c,c,c,c,d,c,Administración,4
e,d,e,b,c,b,b,b,e,d,c,e,e,b,b,d,c,d,d,d,Contaduría,5
d,e,e,d,d,d,d,a,a,a,d,b,d,e,d,d,d,d,a,d,Gestión y Dirección,5
d,a,a,a,a,a,d,a,d,a,a,a,a,d,d,a,a,d,a,a,Ingeniería de Software,5
d,a,c,d,d,e,d,d,d,d,d,d,c,a,d,d,a,c,d,e,Ingeniería Mecánica Eléctrica,5
d,a,c,c,d,b,a,e,d,d,d,d,d,b,d,d,d,c,b,d,Gestión y Dirección,5
a,a,c,d,a,d,a,a,d,d,d,d,d,d,e,d,a,a,c,a,Ingeniería Civil,5
c,e,b,c,c,e,c,c,c,e,d,d,b,d,e,b,c,a,c,b,Administración,5
c,e,d,c,b,c,a,b,b,b,e,d,b,b,c,b,e,e,c,b,Gestión y Dirección,5
d,b,d,a,d,a,d,a,b,d,d,a,e,d,a,d,d,e,a,a,Gestión y Dirección,5
d,d,a,b,b,b,c,c,d,d,b,d,e,d,e,d,d,b,b,b,Ingeniería Mecatrónica,5
d,d,b,a,e,d,a,d,d,d,c,a,b,a,e,e,d,a,d,a,Ingeniería de Software,5
c,d,e,b,a,d,d,d,e,a,a,d,d,d,d,d,d,e,a,d,Ingeniería Industrial,5
c,d,c,b,d,e,c,b,e,d,d,c,e,e,c,a,d,c,e,b,Administración,5
a,d,d,b,d,d,d,d,b,e,d,b,e,c,a,d,d,d,a,d,Gestión y Dirección,5
b,d,d,e,d,b,b,b,e,d,d,c,c,a,c,c,b,a,c,c,Contaduría,4
b,b,d,c,c,e,d,c,b,c,b,d,e,d,b,c,d,d,b,b,Contaduría,5
d,c,d,a,a,a,d,a,a,d,d,b,a,d,b,d,d,d,e,d,Ingeniería Civil,5
c,d,d,c,d,b,c,e,e,e,e,d,c,b,c,c,c,c,b,c,Administración,5
d,b,d,e,d,d,a,e,d,b,e,b,c,d,d,c,b,d,d,b,Contaduría,5
d,d,a,d,e,e,b,d,a,b,e,d,c,b,d,d,b,b,c,d,Ingeniería Mecatrónica,4
d,d,b,c,c,d,d,b,d,d,b,b,d,b,b,e,c,d,b,d,Ingeniería Civil,5
c,e,e,b,d,a,e,b,e,d,c,e,d,c,a,b,e,e,a,b,Ingeniería Industrial,4
d,a,e,b,d,d,d,a,d,a,d,b,a,c,d,a,b,d,e,d,Ingeniería Civil,5
a,c,c,a,a,a,d,a,d,a,a,b,a,a,d,a,a,e,a,a,Ingeniería Mecánica Eléctrica,5
c,e,b,e,b,c,e,e,c,b,c,e,b,e,b,b,d,d,b,c,Administración,5
d,b,d,c,c,d,c,d,e,d,d,d,e,e,b,c,e,d,e,d,Gestión y Dirección,4
c,b,e,d,d,d,d,a,d,d,d,d,d,c,a,c,b,e,d,d,Gestión y Dirección,5
d,a,d,a,a,d,d,a,d,a,a,d,a,a,d,a,d,d,e,d,Ingeniería Mecánica Eléctrica,5
b,c,b,b,d,b,b,e,d,e,d,b,e,d,e,a,d,b,e,d,Ingeniería Mecatrónica,4
a,b,d,d,b,d,d,e,b,d,c,d,e,b,d,d,d,d,d,d,Contaduría,5
d,a,b,d,a,a,e,a,a,a,d,a,a,a,d,a,a,d,a,a,Ingeniería Mecatrónica,4
e,b,e,c,c,c,b,a,e,e,d,c,b,e,c,d,c,e,d,e,Gestión y Dirección,5
a,d,d,c,a,c,b,c,b,b,b,d,a,a,c,d,d,d,d,b,Ingeniería Mecánica Eléctrica,5
d,a,d,e,a,b,d,d,d,a,a,c,d,c,d,a,d,e,a,e,Contaduría,5
d,d,a,c,d,d,b,b,d,b,d,d,b,b,c,b,c,a,b,e,Ingeniería de Software,4
d,d,a,c,b,c,b,b,b,b,b,c,b,b,b,c,d,b,b,e,Ingeniería de Software,5
d,b,d,b,a,b,b,d,d,d,d,d,d,d,b,d,d,c,a,b,Ingeniería Mecánica Eléctrica,5
c,d,c,d,d,d,d,b,d,e,d,d,d,c,b,c,d,a,c,d,Administración,5
a,d,e,d,d,d,d,d,d,e,e,d,e,c,d,d,d,d,b,e,Ingeniería Industrial,5
c,b,d,e,c,b,e,c,c,b,e,d,c,d,c,d,e,a,b,e,Contaduría,5
d,d,b,c,d,d,a,d,b,d,e,d,e,d,d,d,c,d,d,d,Ingeniería Mecatrónica,4
c,b,e,b,d,b,b,b,e,b,b,d,c,c,c,e,e,d,c,d,Administración,5
b,e,d,c,e,b,b,e,c,c,d,c,b,b,c,d,e,c,e,c,Ingeniería Mecánica Eléctrica,4
c,b,a,b,b,d,b,e,c,b,b,b,b,b,b,b,d,d,e,c,Ingeniería Industrial,5
b,b,a,d,c,d,b,d,b,d,c,a,d,c,b,b,b,a,d,d,Ingeniería Mecatrónica,5
d,d,b,a,d,d,c,b,d,d,c,b,d,b,a,c,a,b,d,d,Ingeniería Civil,5
b,d,d,a,d,b,c,e,d,c,d,d,d,d,b,d,d,d,c,c,Ingeniería Civil,4
d,a,b,a,d,d,d,d,d,d,e,d,d,d,d,a,d,d,a,d,Gestión y Dirección,5
e,e,e,c,b,c,b,c,e,b,b,c,b,e,c,b,e,d,b,c,Gestión y Dirección,4
b,d,e,b,d,d,d,d,b,d,a,e,d,d,d,c,d,c,a,d,Gestión y Dirección,4
b,d,c,e,d,c,e,b,a,d,e,d,d,a,d,d,d,e,d,e,Ingeniería Mecánica Eléctrica,5
e,b,c,c,b,c,b,c,e,b,b,d,b,b,e,b,b,a,b,d,Ingeniería Mecánica Eléctrica,5
d,c,d,b,e,b,e,e,b,e,d,d,d,d,e,c,c,e,a,b,Gestión y Dirección,5
b,b,e,c,c,d,d,c,c,e,c,c,b,b,b,c,e,e,b,c,Ingeniería Industrial,5
c,e,d,c,d,e,e,e,c,d,e,d,d,e,b,b,e,c,e,d,Ingeniería Industrial,4
d,d,b,e,c,b,b,e,d,c,b,a,c,d,a,e,b,a,c,b,Ingeniería de Software,5
a,d,a,d,b,e,b,c,d,c,e,b,e,d,c,d,c,d,e,e,Ingeniería de Software,5
c,e,d,b,c,b,e,b,c,d,c,d,b,b,e,d,e,d,e,c,Gestión y Dirección,5
d,a,d,b,d,b,a,b,a,a,a,c,d,a,d,d,d,e,a,d,Ingeniería Industrial,5
b,d,d,e,d,d,c,e,d,d,d,c,a,c,b,c,b,e,a,d,Administración,5
b,a,b,b,a,d,a,c,b,d,d,d,d,d,b,e,a,c,d,d,Ingeniería Mecatrónica,5
a,b,d,e,a,d,e,d,d,d,d,d,a,b,d,a,d,c,e,a,Gestión y Dirección,4
b,e,d,e,c,b,b,e,e,b,c,d,b,c,a,b,b,b,b,d,Ingeniería Civil,5
b,d,e,d,d,d,d,b,b,d,d,c,d,b,a,a,b,e,d,d,Ingeniería Industrial,5
b,a,d,e,a,e,d,e,d,d,d,d,d,d,b,d,e,e,a,b,Gestión y Dirección,5
b,a,b,b,a,b,d,a,d,a,e,c,a,a,d,d,c,d,e,b,Gestión y Dirección,5
d,d,c,d,e,d,d,a,d,c,e,b,d,b,d,a,d,b,d,d,Ingeniería Civil,5
b,d,b,c,c,c,b,c,c,b,b,d,b,c,e,b,e,b,b,b,Ingeniería Civil,5
e,e,c,e,c,c,c,c,e,b,e,c,c,c,b,d,c,e,d,c,Ingeniería Industrial,4
b,e,c,b,b,c,b,b,b,b,d,a,c,b,b,d,b,b,c,b,Ingeniería Civil,4
c,e,c,c,b,c,b,b,e,b,b,c,b,b,c,b,e,d,b,e,Ingeniería Mecánica Eléctrica,5
b,c,d,b,b,b,b,e,e,b,b,b,b,b,e,b,d,d,b,b,Ingeniería Mecatrónica,5
d,d,a,a,e,b,b,d,a,c,e,b,d,d,d,e,a,d,c,d,Ingeniería de Software,5
d,d,d,d,d,d,a,d,c,a,d,c,d,d,a,a,b,e,d,b,Administración,4
c,e,d,e,b,c,d,b,b,b,b,d,b,e,a,c,b,b,b,b,Gestión y Dirección,4
b,b,c,e,e,b,b,c,c,c,d,c,b,e,b,e,e,d,b,b,Ingeniería Civil,5
e,c,e,b,d,e,a,b,b,d,e,d,e,d,c,e,d,d,a,b,Administración,5
b,b,a,c,e,e,b,c,e,b,d,d,d,e,e,d,e,e,e,c,Contaduría,4
d,b,e,e,d,b,a,b,e,e,d,c,e,b,c,a,e,e,e,c,Ingeniería Industrial,4
d,d,b,b,c,b,e,b,a,e,b,d,c,b,b,c,d,b,b,d,Ingeniería Mecatrónica,5
d,d,d,d,d,d,d,d,d,a,a,d,d,d,b,d,d,a,b,b,Administración,5
b,b,d,d,d,b,a,d,d,b,d,d,d,b,d,d,b,c,d,d,Contaduría,5
c,b,d,d,d,e,d,d,b,c,b,d,d,c,d,e,e,d,b,b,Contaduría,5
c,c,d,a,e,e,c,b,b,b,d,b,c,b,b,e,d,b,b,d,Ingeniería Civil,5
d,b,b,c,e,c,d,b,b,e,d,c,d,b,b,a,d,d,d,c,Administración,5
d,a,d,b,d,c,c,b,d,e,b,b,d,d,d,c,d,a,c,c,Ingeniería Civil,5
b,b,d,e,e,d,e,d,d,d,d,d,e,d,b,d,d,d,e,d,Ingeniería Civil,5
e,e,d,c,e,c,b,b,b,b,b,c,b,e,c,e,e,c,d,b,Ingeniería Industrial,5
c,d,c,d,d,b,a,b,b,b,d,c,b,b,c,e,d,c,d,b,Contaduría,5
c,c,d,c,e,b,c,e,d,e,b,e,b,b,e,b,b,b,c,c,Ingeniería Mecatrónica,5
c,d,b,b,e,b,e,b,c,c,b,d,e,c,b,c,b,d,b,e,Administración,4
d,d,d,e,b,b,e,b,b,c,b,c,b,d,a,d,d,d,b,c,Administración,5
c,b,d,e,c,c,b,b,d,c,e,e,d,b,e,e,d,a,b,b,Administración,5
e,e,e,c,b,c,b,c,b,d,b,d,b,e,e,b,d,b,b,c,Contaduría,4
d,d,c,d,b,b,d,b,d,c,c,b,c,c,d,e,b,b,b,b,Administración,5
d,d,c,e,e,b,d,d,d,e,d,b,c,b,a,c,d,a,d,d,Ingeniería Mecatrónica,5
d,a,b,e,d,d,d,d,d,a,b,b,a,d,d,d,d,b,d,d,Contaduría,5
e,b,e,e,c,c,c,c,c,b,e,e,b,b,c,b,d,d,b,c,Ingeniería Mecatrónica,5
c,e,e,d,e,d,a,e,d,d,a,e,d,c,d,c,d,e,a,d,Gestión y Dirección,5
d,a,d,d,a,d,d,d,d,a,a,e,d,d,d,a,a,d,e,d,Administración,5
d,a,c,a,d,d,d,d,a,a,e,a,d,d,d,d,d,b,d,a,Ingeniería Mecatrónica,5
d,d,d,d,a,d,d,d,a,c,d,d,d,d,d,a,d,d,a,d,Ingeniería Civil,5
c,d,b,d,b,d,e,e,e,d,d,b,b,e,a,b,d,d,c,b,Administración,4
d,d,d,d,d,a,d,e,b,d,a,b,a,d,a,d,d,c,a,d,Ingeniería Industrial,4
b,b,d,d,d,b,d,b,b,c,c,d,e,b,a,e,d,c,d,d,Ingeniería Industrial,5
a,c,b,d,d,d,d,d,d,d,d,d,e,d,b,c,d,b,d,d,Ingeniería Mecánica Eléctrica,5
d,d,a,b,d,d,d,a,d,a,a,e,d,d,a,d,c,c,d,d,Administración,4
e,e,d,c,b,c,b,c,e,b,b,d,b,e,c,e,e,e,c,c,Contaduría,4
d,d,a,d,d,d,c,a,d,a,c,a,e,d,b,e,b,b,d,d,Ingeniería Mecatrónica,5
d,d,c,d,d,a,d,d,d,d,c,a,d,c,d,d,a,b,d,a,Administración,4
e,e,d,c,e,d,d,b,c,d,c,c,c,e,a,e,d,c,d,e,Ingeniería Industrial,5
a,a,d,a,a,a,d,a,d,a,a,b,a,d,d,d,a,a,e,a,Ingeniería Mecánica Eléctrica,5
d,d,a,d,e,d,b,d,d,b,c,b,e,c,b,b,d,d,b,d,Ingeniería Mecatrónica,5
d,d,c,b,c,b,d,b,c,d,e,a,c,e,d,b,d,b,d,b,Ingeniería Mecánica Eléctrica,5
d,c,a,d,e,d,e,d,c,e,d,a,e,e,b,e,d,b,a,d,Ingeniería Civil,5
e,e,d,b,b,c,c,c,c,c,b,d,b,e,c,b,e,d,b,c,Ingeniería Civil,4
a,a,a,a,d,a,d,d,a,d,a,a,a,a,b,a,a,b,a,a,Ingeniería de Software,4
d,a,a,d,c,d,d,a,a,a,a,b,d,d,d,c,a,b,d,d,Ingeniería Civil,5
e,e,d,d,b,c,b,c,e,b,b,d,b,b,b,b,b,d,b,c,Administración,5
d,c,c,a,d,d,d,a,d,d,a,d,e,d,e,a,d,c,d,a,Ingeniería Mecatrónica,5
a,a,a,a,d,a,d,a,a,d,a,a,d,d,d,e,a,b,b,a,Ingeniería de Software,4
d,a,a,e,e,b,b,e,c,e,b,d,d,c,b,d,b,a,d,d,Ingeniería Mecatrónica,5
b,b,d,b,b,e,e,e,b,e,e,e,c,c,c,d,d,c,a,b,Contaduría,4
d,d,d,e,d,c,d,b,c,e,b,c,c,e,b,d,d,e,b,c,Administración,5
c,a,b,d,a,a,d,d,a,a,a,c,a,d,d,a,d,c,d,a,Contaduría,5
d,c,c,d,b,d,d,e,d,b,c,b,c,b,d,e,d,b,a,d,Ingeniería Civil,5
a,a,b,d,a,d,d,d,a,d,a,b,a,a,d,a,d,c,a,a,Ingeniería Mecatrónica,5
a,a,d,d,d,b,d,d,a,e,d,d,a,c,b,a,c,e,d,d,Administración,5
b,c,b,d,b,d,c,e,e,c,d,a,b,e,b,c,b,b,d,e,Contaduría,4
b,e,d,d,b,d,b,c,b,b,b,b,b,b,c,e,e,d,d,d,Ingeniería de Software,4
b,a,a,b,d,e,e,d,a,d,d,a,d,d,b,a,d,b,a,a,Ingeniería de Software,4
a,d,c,a,d,d,d,d,a,d,a,d,d,b,d,d,d,d,d,d,Administración,5
d,c,d,b,a,d,b,b,d,d,a,b,d,d,c,a,b,c,d,b,Ingeniería Mecatrónica,5
d,d,e,d,d,d,d,d,c,d,c,b,c,e,d,c,e,e,e,b,Ingeniería Industrial,4
d,a,b,a,b,a,c,d,d,c,c,b,c,d,d,b,d,b,d,d,Ingeniería Mecánica Eléctrica,5
c,b,b,d,e,b,c,d,d,b,d,e,b,e,b,b,b,b,b,b,Contaduría,5
a,a,a,d,d,d,d,e,a,c,d,e,e,a,d,a,a,b,d,a,Ingeniería Mecatrónica,5
a,b,e,d,e,e,c,e,a,a,c,b,c,d,d,b,a,a,d,a,Ingeniería Civil,5
d,a,b,a,a,b,d,d,a,d,d,a,d,a,b,a,a,a,d,d,Ingeniería de Software,4
d,d,b,d,e,d,a,e,a,b,d,b,c,b,d,d,a,d,e,d,Ingeniería de Software,5
d,c,d,b,b,c,b,c,b,c,b,c,d,e,c,c,b,d,b,c,Ingeniería Mecánica Eléctrica,5
b,a,c,d,e,a,d,d,d,a,e,d,a,d,d,c,a,a,c,d,Ingeniería Mecánica Eléctrica,5
e,b,c,c,c,c,b,b,c,b,b,c,c,b,c,b,e,d,d,c,Administración,5
b,b,d,e,d,e,d,c,e,d,d,c,e,b,d,e,c,e,d,e,Ingeniería Industrial,5
d,a,e,d,a,a,d,a,d,d,a,e,a,d,a,a,b,e,a,b,Gestión y Dirección,4
d,d,d,d,c,a,c,e,b,d,d,d,d,c,b,d,b,d,d,b,Contaduría,4
e,b,c,d,d,e,c,e,e,d,e,a,c,e,a,e,c,a,a,d,Ingeniería Mecánica Eléctrica,5
c,b,d,d,a,c,d,b,b,e,d,e,c,b,b,d,c,e,d,c,Gestión y Dirección,5
a,d,d,d,d,d,a,b,d,e,b,e,a,d,b,d,a,a,e,d,Ingeniería Mecatrónica,5
d,c,d,d,e,e,a,e,d,d,b,d,e,d,b,b,d,d,c,b,Ingeniería Mecánica Eléctrica,5
d,d,b,d,b,d,c,d,d,c,b,d,b,d,d,c,d,d,b,b,Contaduría,4
c,b,e,b,b,c,a,c,c,e,b,c,d,c,c,b,e,c,c,e,Gestión y Dirección,5
d,a,b,c,b,d,c,d,e,e,d,d,c,d,b,e,d,d,b,b,Ingeniería Mecánica Eléctrica,4
e,e,c,c,b,c,b,b,e,b,b,d,b,b,c,b,e,d,b,e,Ingeniería Mecánica Eléctrica,5
a,a,a,a,d,e,e,d,a,d,d,a,d,a,d,d,a,b,b,a,Ingeniería de Software,5
c,c,b,d,c,b,b,e,c,c,b,b,d,a,b,b,b,b,d,b,Ingeniería de Software,5
e,b,e,c,d,b,b,b,c,e,c,d,c,b,c,d,e,e,d,e,Ingeniería Industrial,5
d,d,b,d,d,e,a,a,b,c,a,d,d,c,b,d,d,d,c,b,Administración,4
c,b,c,d,c,c,c,b,b,b,b,c,b,d,e,e,e,d,b,c,Contaduría,4
c,d,e,d,e,d,a,d,b,a,d,c,c,c,a,d,d,e,d,d,Contaduría,5
d,b,e,e,e,b,a,c,c,c,b,e,b,b,b,e,e,c,d,e,Contaduría,5
d,d,d,b,a,e,d,d,a,d,d,d,a,b,a,d,d,c,d,e,Gestión y Dirección,4
b,a,a,b,d,d,d,e,d,a,d,d,d,e,b,a,b,b,e,d,Ingeniería Mecánica Eléctrica,5
d,b,d,e,e,d,c,d,b,e,d,d,d,d,d,c,b,e,a,b,Gestión y Dirección,4
c,c,c,b,c,c,a,b,e,d,d,c,e,c,d,d,d,d,c,d,Administración,4
d,c,d,c,b,c,e,c,b,b,b,b,e,e,b,e,e,c,d,c,Ingeniería Industrial,5
c,e,e,c,e,b,a,b,e,b,b,c,d,e,b,b,e,e,d,b,Ingeniería Industrial,4
a,d,d,d,c,d,d,d,a,e,b,b,d,d,b,c,a,b,d,a,Ingeniería de Software,5
d,a,a,d,d,d,c,d,a,d,a,a,d,d,a,d,d,b,e,a,Ingeniería de Software,4
d,d,b,b,b,e,b,d,d,b,c,a,b,c,d,b,d,b,b,a,Ingeniería de Software,5
e,e,d,d,c,a,b,d,b,b,b,b,e,e,e,b,c,d,b,b,Administración,4
d,c,b,d,e,a,d,a,b,d,d,e,d,c,d,d,b,b,d,a,Contaduría,5
d,d,d,a,d,d,d,d,d,d,d,e,a,a,b,a,a,e,e,d,Ingeniería Industrial,5
d,d,a,d,d,d,b,d,a,d,d,a,d,d,a,d,b,b,a,d,Ingeniería de Software,5
b,a,b,d,a,d,a,a,d,a,d,a,d,d,d,d,d,d,a,d,Administración,5
d,a,d,a,c,a,d,a,a,d,d,a,d,d,d,d,d,d,d,d,Ingeniería Mecánica Eléctrica,5
d,c,d,b,a,d,d,b,d,b,d,c,e,d,b,a,d,c,e,b,Gestión y Dirección,5
a,d,d,d,d,d,d,d,a,a,d,d,d,a,d,d,d,c,e,d,Ingeniería Industrial,5
c,e,e,c,e,b,c,b,c,e,b,d,e,e,c,b,e,c,d,b,Gestión y Dirección,5
d,c,b,b,e,c,e,d,c,d,c,c,d,b,e,d,d,c,d,d,Ingeniería Civil,5
d,d,d,b,e,b,a,d,b,c,c,b,d,e,b,d,b,b,d,b,Ingeniería Civil,5
d,d,a,e,c,b,c,b,a,b,d,b,c,d,b,b,d,b,b,d,Ingeniería de Software,5
d,d,d,c,e,d,d,d,c,c,b,e,e,d,d,b,c,d,c,b,Ingeniería Industrial,5
c,c,b,b,b,c,b,c,d,b,b,d,c,d,d,b,d,b,b,b,Ingeniería Mecánica Eléctrica,5
e,e,e,c,c,b,a,b,e,b,b,c,b,e,c,c,c,e,c,c,Ingeniería Industrial,4
c,c,a,e,c,d,c,b,d,b,b,d,b,b,a,b,b,b,b,e,Ingeniería Mecatrónica,5
b,d,b,b,b,c,b,b,b,b,b,b,c,e,a,b,d,a,b,b,Ingeniería Civil,4
b,d,a,a,d,a,d,a,a,d,d,b,a,b,d,e,b,a,a,a,Contaduría,5
c,e,b,c,b,c,b,c,e,b,b,c,d,e,e,b,e,c,b,c,Ingeniería Industrial,4
e,d,b,d,a,b,d,b,c,a,c,c,d,c,a,d,d,e,d,c,Contaduría,4
d,a,b,d,d,e,c,d,d,c,d,e,d,d,c,d,b,d,d,d,Ingeniería Mecánica Eléctrica,5
d,d,a,d,d,d,d,d,a,d,a,a,d,a,d,d,a,b,e,a,Ingeniería de Software,5
b,a,e,d,a,e,d,d,d,a,d,b,d,d,d,a,b,e,a,b,Ingeniería Industrial,5
e,c,b,c,b,c,b,b,c,b,b,b,b,d,e,e,e,a,b,b,Ingeniería Mecánica Eléctrica,5
b,b,b,e,e,b,b,d,b,c,d,b,d,b,b,b,b,b,d,b,Ingeniería Mecatrónica,5
b,d,e,d,a,d,d,d,b,a,d,c,a,d,e,a,b,e,a,d,Ingeniería Industrial,4
b,d,b,b,e,b,b,c,d,d,d,e,d,d,d,d,a,d,c,b,Ingeniería de Software,5
b,a,a,d,d,a,b,e,b,d,a,b,d,d,c,d,d,c,e,b,Ingeniería Mecatrónica,5
d,d,d,d,b,a,c,a,d,a,d,b,d,d,a,d,d,d,d,d,Administración,4
c,b,d,b,b,b,b,b,d,b,b,d,b,e,c,c,c,b,b,e,Administración,5
d,a,a,b,d,d,d,e,d,d,d,b,a,a,a,d,d,b,b,a,Ingeniería Mecatrónica,5
d,c,b,d,d,a,a,d,d,d,a,b,d,d,d,a,a,d,d,d,Ingeniería Mecatrónica,5
b,b,e,d,c,e,a,e,c,d,d,d,d,c,e,b,e,c,a,e,Gestión y Dirección,4
e,e,d,c,b,c,b,c,b,b,b,c,b,b,c,b,c,c,c,c,Contaduría,4
c,b,d,c,d,d,e,c,c,d,e,c,b,e,a,b,e,c,d,c,Ingeniería Industrial,5
a,b,d,a,a,d,d,a,d,d,d,d,d,b,d,d,b,d,d,d,Contaduría,5
b,b,e,c,d,d,d,d,b,d,d,b,c,b,d,e,b,e,d,d,Ingeniería Industrial,5
d,b,d,d,d,e,d,d,c,a,a,b,e,d,d,d,a,d,e,a,Contaduría,4
c,b,b,c,c,b,a,b,e,d,e,d,d,b,a,d,e,c,b,e,Contaduría,4
b,e,b,d,e,d,b,e,c,d,b,d,c,d,b,d,d,a,c,b,Ingeniería Mecánica Eléctrica,5
c,b,e,e,c,b,d,e,d,c,b,d,d,e,b,b,c,d,b,e,Gestión y Dirección,5
d,d,b,b,b,d,d,a,d,e,d,e,b,d,b,e,b,c,d,d,Contaduría,5
a,d,b,d,d,d,e,d,a,a,d,b,a,d,d,d,d,d,d,a,Ingeniería Mecánica Eléctrica,5
d,c,b,b,d,c,b,c,d,e,b,e,d,d,e,e,d,d,b,e,Ingeniería Mecatrónica,4
d,a,d,a,c,d,e,d,a,d,d,b,d,a,d,a,a,b,c,a,Ingeniería Mecánica Eléctrica,5
d,d,c,d,a,d,d,a,d,a,a,d,d,d,d,d,d,d,a,d,Administración,5
e,e,e,e,c,e,c,b,e,d,e,d,b,e,c,b,e,e,d,c,Ingeniería Industrial,4
c,c,c,d,e,d,c,d,b,d,b,e,e,e,b,b,d,d,b,d,Ingeniería Mecánica Eléctrica,5
c,e,d,b,b,c,c,c,c,e,c,a,b,c,b,b,c,b,b,b,Contaduría,5
b,b,b,d,c,d,e,d,a,e,d,d,b,c,b,c,b,b,d,e,Ingeniería Civil,5
b,b,d,b,c,b,c,e,b,d,b,c,b,b,e,d,c,e,c,e,Contaduría,5
a,d,b,a,b,d,c,a,a,d,c,b,e,d,d,c,a,b,c,d,Ingeniería de Software,4
d,b,e,d,b,b,a,d,d,b,c,c,d,d,d,d,b,a,c,e,Gestión y Dirección,4
c,d,b,e,b,e,c,b,e,d,c,d,e,e,a,e,d,d,d,d,Ingeniería Civil,5
c,c,e,d,e,e,e,d,c,e,d,c,d,c,e,d,c,c,d,c,Ingeniería Industrial,5
b,e,e,d,d,d,a,d,c,a,a,d,e,e,d,d,e,c,a,d,Ingeniería Industrial,5
